schedule,min,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,max,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A,schedule,default,1A,2A,2B,3A,3B,3C,4A,4B,4C,5A,5B,6A,6B,7A,8A
PrimarySchoolBldgEquip,PrimarySchoolBldgEquip,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,PrimarySchoolBldgEquip,PrimarySchoolBldgEquip,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,PrimarySchoolBldgEquip,PrimarySchoolBldgEquip,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
SchoolPrimaryBLDG_SWH_SCH,SchoolPrimaryBLDG_SWH_SCH,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,SchoolPrimaryBLDG_SWH_SCH,SchoolPrimaryBLDG_SWH_SCH,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,1.2048,SchoolPrimaryBLDG_SWH_SCH,SchoolPrimaryBLDG_SWH_SCH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PrimarySchoolBldgOcc,PrimarySchoolBldgOcc,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,PrimarySchoolBldgOcc,PrimarySchoolBldgOcc,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,1.11112,PrimarySchoolBldgOcc,PrimarySchoolBldgOcc,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PrimarySchoolHtgSetp,PrimarySchoolHtgSetp,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,0.9857,PrimarySchoolHtgSetp,PrimarySchoolHtgSetp,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,1.02857,PrimarySchoolHtgSetp,PrimarySchoolHtgSetp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PrimarySchoolClgSetp,PrimarySchoolClgSetp,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,0.96,PrimarySchoolClgSetp,PrimarySchoolClgSetp,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,1.01333,PrimarySchoolClgSetp,PrimarySchoolClgSetp,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
PrimarySchoolBldgLight,PrimarySchoolBldgLight,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,0.7,PrimarySchoolBldgLight,PrimarySchoolBldgLight,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,1.0527,PrimarySchoolBldgLight,PrimarySchoolBldgLight,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
